symbol,E_R_annual,pb,pe,market_cap
FPT,0.142368,3.05,11.96,119245498470000
SIP,0.164708,2.30,9.93,14405720108500
VTP,0.187565,4.58,21.30,7696688254400
CTR,0.180787,4.31,15.20,9413957841700
VHC,0.151676,1.31,9.56,13177101599000
