Ticker,Shares,Price@20/04,Price@20/05,Value,Change%
FPT,4600,75860.00,76640.00,352544000.00,1.03
SIP,3100,57140.00,52000.00,161200000.00,-9.00
VTP,2500,70800.00,70500.00,176250000.00,-0.42
CTR,1900,87100.00,95000.00,180500000.00,9.07
VHC,1900,62700.00,58200.00,110580000.00,-7.18
